time,precip1,precip2,precip3,Precip4
1979-01-01,0.9088548,0.925143,2.497627,1.175411
1979-02-01,4.230376,2.718189,2.659502,1.674119
1979-03-01,1.903657,1.539308,2.999382,2.864053
1979-04-01,1.557748,2.747225,4.275218,8.560906
1979-05-01,2.75065,3.103675,4.972281,5.126878
1979-06-01,1.422092,2.152121,4.244404,6.550681
1979-07-01,0.3249443,1.208403,3.922101,4.227056
1979-08-01,0.2220417,0.7775826,1.665516,2.454808
1979-09-01,0.2604648,1.674414,2.368725,2.999308
1979-10-01,0.05009697,0.1088277,0.5106156,0.6104345
1979-11-01,0.02884336,0.4831136,1.013727,2.515157
1979-12-01,0.04620647,0.2358281,0.3106379,0.205841
1980-01-01,1.191127,1.15439,2.129746,2.220293
1980-02-01,10.68771,6.68468,6.128725,8.271696
1980-03-01,3.377712,3.361452,4.660412,3.619911
1980-04-01,1.043264,1.730551,2.055477,1.088657
1980-05-01,1.067597,1.341034,2.171769,2.477018
1980-06-01,1.232957,2.583838,6.394239,6.002849
1980-07-01,0.5102599,1.031788,2.009403,3.988686
1980-08-01,0.1643031,0.5484355,1.460657,1.782057
1980-09-01,0.2031935,0.4005125,1.474433,3.326052
1980-10-01,0.106178,0.2948377,2.010941,2.92213
1980-11-01,0.1323558,0.2770562,1.142832,1.224756
1980-12-01,0.1534125,0.4504173,0.9109424,0.5685512
1981-01-01,0.8178855,1.77677,2.743999,1.682681
1981-02-01,1.408298,1.693833,1.083146,1.332411
1981-03-01,8.48193,11.83494,9.375945,6.611581
1981-04-01,1.93972,1.60441,1.93519,4.401066
1981-05-01,3.534461,1.776896,2.291761,2.650862
1981-06-01,1.514206,1.368506,2.63314,4.730072
1981-07-01,0.5542023,0.613987,2.272814,3.188568
1981-08-01,0.1936619,0.2587771,1.727694,3.084245
1981-09-01,0.1787201,0.2873468,1.142617,1.369177
1981-10-01,0.07295609,0.06221074,0.2148913,0.2633092
1981-11-01,0.05491794,0.5767033,1.447931,1.529016
1981-12-01,1.798584,1.746806,2.746992,1.887167
1982-01-01,0.9829567,0.4777754,1.202782,0.8611529
1982-02-01,2.998032,2.471054,2.918379,2.925508
1982-03-01,5.477258,2.455174,1.300641,0.4219553
1982-04-01,9.167529,4.686323,5.785035,8.296948
1982-05-01,3.687206,3.868143,6.72542,7.245293
1982-06-01,1.802436,2.349598,4.760342,6.704534
1982-07-01,1.09437,1.815754,3.031929,4.891062
